iter	Quantile:alpha=0.67
0	0.3300713168
1	0.328527452
2	0.3267472861
3	0.3260018166
4	0.324503122
5	0.3235168397
6	0.3226667124
7	0.3220049168
8	0.3206297116
9	0.3194667762
10	0.3189767751
11	0.3181633955
12	0.3174940639
13	0.3168902629
14	0.3159293881
15	0.3155936315
16	0.3148637737
17	0.3142796447
18	0.3136258056
19	0.3132256207
20	0.3128132675
21	0.3124751876
22	0.3119898141
23	0.3114507865
24	0.3109850975
25	0.3104493102
26	0.3101667163
27	0.3097191669
28	0.3093566887
29	0.3087394265
30	0.3084231723
31	0.3079763897
32	0.3075268488
33	0.3071778162
34	0.3069756642
35	0.3068150851
36	0.3063396196
37	0.3061251358
38	0.3056286255
39	0.3052971259
40	0.3048690877
41	0.3044993605
42	0.3039901564
43	0.3037338585
44	0.3035103269
45	0.3031064113
46	0.3029609781
47	0.3028344745
48	0.30255991
49	0.3021852218
50	0.3020031436
51	0.3015607937
52	0.3012342937
53	0.3008766456
54	0.3006840994
55	0.3003788718
56	0.3000818742
57	0.2998511951
58	0.2994733839
59	0.2991676814
60	0.2989737966
61	0.2986591901
62	0.2984771629
63	0.2983043359
64	0.2981213811
65	0.2979642271
66	0.2977847096
67	0.297377261
68	0.2972800698
69	0.2970594479
70	0.2968354673
71	0.2966254126
72	0.2964552312
73	0.2962127026
74	0.29599245
75	0.2955359709
76	0.2953772523
77	0.2951808343
78	0.2949422919
79	0.294727953
80	0.2943654353
81	0.2940564655
82	0.2937824564
83	0.2936329485
84	0.293406973
85	0.292974504
86	0.2925478844
87	0.2922837268
88	0.2921291392
89	0.2919469054
90	0.2917890711
91	0.2915326817
92	0.2912348813
93	0.2910556508
94	0.2905409124
95	0.2903135239
96	0.2902212523
97	0.2899397106
98	0.2896750462
99	0.2895416039
100	0.289395137
101	0.2892564407
102	0.2891491367
103	0.2890454
104	0.2888334473
105	0.2884855444
106	0.2883653374
107	0.2879180025
108	0.2876192477
109	0.2873832006
110	0.2871396964
111	0.2869652276
112	0.2867914652
113	0.2864603146
114	0.2863422625
115	0.2859737287
116	0.2856268949
117	0.285430223
118	0.2853297328
119	0.2852714808
120	0.2851649304
121	0.2847384151
122	0.284625677
123	0.284413596
124	0.2840228225
125	0.2839690356
126	0.2838226492
127	0.2836054753
128	0.283149514
129	0.2830072701
130	0.2828986099
131	0.2826153369
132	0.2823603763
133	0.281959723
134	0.2818656123
135	0.2817842376
136	0.2815166929
137	0.2812754183
138	0.2810892993
139	0.2809479482
140	0.2806295426
141	0.2803943447
142	0.2802182203
143	0.279787393
144	0.2795323618
145	0.2792278131
146	0.2791555507
147	0.2790170665
148	0.2788200768
149	0.2786333233
150	0.2782503488
151	0.278051868
152	0.2777857752
153	0.2776073116
154	0.2774877737
155	0.277208382
156	0.2771071073
157	0.2767800151
158	0.276638499
159	0.2765787295
160	0.2764145408
161	0.2762650692
162	0.276061529
163	0.2759981607
164	0.2757126247
165	0.2755100821
166	0.2752837384
167	0.2750722634
168	0.2749299492
169	0.2747210765
170	0.274522081
171	0.274344535
172	0.2741809086
173	0.2741243155
174	0.2739920722
175	0.2737604249
176	0.2736855978
177	0.2735373619
178	0.2732272646
179	0.2731392478
180	0.2730373968
181	0.2729176754
182	0.2727750413
183	0.2724685966
184	0.2723538189
185	0.27194731
186	0.2718834752
187	0.2717597456
188	0.2716525227
189	0.2714240479
190	0.2712263796
191	0.271090019
192	0.2709077654
193	0.2708543487
194	0.2705994576
195	0.2704361992
196	0.2702735288
197	0.2701384125
198	0.2699059372
199	0.2698637621
200	0.2697731796
201	0.2696653993
202	0.2695787909
203	0.2694269264
204	0.26917389
205	0.269093063
206	0.2687520309
207	0.268492983
208	0.2683666051
209	0.2682300925
210	0.2681981447
211	0.2680941039
212	0.2678995405
213	0.2678029678
214	0.2677524927
215	0.2677135398
216	0.2673734672
217	0.2671530417
218	0.2669715534
219	0.2669326021
220	0.2668018466
221	0.2667441792
222	0.2666600971
223	0.2665745486
224	0.2664781833
225	0.2663571451
226	0.2661759221
227	0.2660711414
228	0.2659320836
229	0.2657805442
230	0.2656277357
231	0.2655464198
232	0.2654389042
233	0.2654125737
234	0.2653822342
235	0.2652641248
236	0.2651368614
237	0.2650241201
238	0.264810121
239	0.2647237867
240	0.2646605269
241	0.2645698311
242	0.2645401776
243	0.2643887624
244	0.2641974207
245	0.2641245086
246	0.26404867
247	0.2639799929
248	0.2638273949
249	0.2636730224
250	0.2635081732
251	0.2634435866
252	0.2634041674
253	0.2633916582
254	0.2632709884
255	0.2632252426
256	0.2631970451
257	0.263063899
258	0.2627712193
259	0.2626730163
260	0.2626272402
261	0.2626011728
262	0.2625786404
263	0.2625306719
264	0.2624175749
265	0.262369301
266	0.262299231
267	0.2621689337
268	0.2620914326
269	0.262034243
270	0.2618065256
271	0.261737931
272	0.2617146607
273	0.2616219033
274	0.2615492346
275	0.2615114201
276	0.2614770631
277	0.2613720416
278	0.2612590905
279	0.2611089603
280	0.2609975158
281	0.2609377444
282	0.2608414197
283	0.2607392766
284	0.260626954
285	0.2604874034
286	0.2603186359
287	0.2602004511
288	0.2601528368
289	0.2600156063
290	0.2598818775
291	0.2598085518
292	0.2597759592
293	0.2596542919
294	0.2595833075
295	0.2594567951
296	0.2593960583
297	0.2592830448
298	0.2591794577
299	0.2590982444
