iter	Passed	Remaining
0	52	15595
1	53	7961
2	54	5413
3	55	4141
4	58	3425
5	59	2903
6	60	2541
7	62	2289
8	64	2083
9	66	1917
10	68	1790
11	69	1665
12	70	1560
13	71	1469
14	73	1405
15	75	1338
16	77	1288
17	80	1264
18	82	1218
19	83	1174
20	85	1137
21	87	1101
22	89	1074
23	91	1051
24	93	1026
25	94	1000
26	96	980
27	98	957
28	100	935
29	103	930
30	104	909
31	106	888
32	107	873
33	109	860
34	111	846
35	113	831
36	115	822
37	117	807
38	118	795
39	120	784
40	122	775
41	124	766
42	126	755
43	128	745
44	130	739
45	132	730
46	133	721
47	136	717
48	137	706
49	139	698
50	141	689
51	143	685
52	145	678
53	147	673
54	149	665
55	152	662
56	153	655
57	155	648
58	156	640
59	158	633
60	159	625
61	161	618
62	163	615
63	165	611
64	168	610
65	170	605
66	172	599
67	175	598
68	177	593
69	178	587
70	180	582
71	182	577
72	184	574
73	186	569
74	189	567
75	190	562
76	193	561
77	195	557
78	197	551
79	199	547
80	201	544
81	203	540
82	205	536
83	206	531
84	208	526
85	209	522
86	211	518
87	214	517
88	216	513
89	218	509
90	219	504
91	221	500
92	223	497
93	225	494
94	227	490
95	228	486
96	230	483
97	232	478
98	233	475
99	235	470
100	236	466
101	239	464
102	240	460
103	242	456
104	244	453
105	247	452
106	248	448
107	250	445
108	253	443
109	255	440
110	256	437
111	259	435
112	260	431
113	262	428
114	263	424
115	264	420
116	266	416
117	267	412
118	269	409
119	270	405
120	271	402
121	273	398
122	274	394
123	275	391
124	276	387
125	278	384
126	279	380
127	281	377
128	282	374
129	285	373
130	286	370
131	288	367
132	289	363
133	292	361
134	293	358
135	294	355
136	296	352
137	297	348
138	298	345
139	299	342
140	300	339
141	302	336
142	303	333
143	304	330
144	308	329
145	309	326
146	311	323
147	312	321
148	313	318
149	315	315
150	316	312
151	317	309
152	319	306
153	320	303
154	322	301
155	323	298
156	326	297
157	327	294
158	328	291
159	330	288
160	332	287
161	333	284
162	338	284
163	339	281
164	341	279
165	343	276
166	344	274
167	346	272
168	347	269
169	349	266
170	350	264
171	351	261
172	353	259
173	354	256
174	355	253
175	356	251
176	358	248
177	359	246
178	360	243
179	361	241
180	363	238
181	364	236
182	365	233
183	366	231
184	369	229
185	371	227
186	374	226
187	375	223
188	379	222
189	380	220
190	381	217
191	383	215
192	385	213
193	387	211
194	388	209
195	389	206
196	390	204
197	392	202
198	393	199
199	394	197
200	395	194
201	396	192
202	398	190
203	399	187
204	400	185
205	401	183
206	403	181
207	404	178
208	406	176
209	407	174
210	408	172
211	409	170
212	412	168
213	413	166
214	414	163
215	415	161
216	416	159
217	418	157
218	420	155
219	421	153
220	423	151
221	424	149
222	425	146
223	426	144
224	428	142
225	429	140
226	431	138
227	434	137
228	435	135
229	437	133
230	438	130
231	439	128
232	441	126
233	443	125
234	446	123
235	447	121
236	449	119
237	451	117
238	452	115
239	454	113
240	456	111
241	457	109
242	459	107
243	461	105
244	463	103
245	464	102
246	466	100
247	468	98
248	470	96
249	472	94
250	474	92
251	475	90
252	477	88
253	479	86
254	480	84
255	482	82
256	484	81
257	485	79
258	487	77
259	489	75
260	490	73
261	492	71
262	495	69
263	497	67
264	499	65
265	501	64
266	503	62
267	505	60
268	506	58
269	507	56
270	509	54
271	511	52
272	513	50
273	515	48
274	517	47
275	519	45
276	521	43
277	522	41
278	524	39
279	526	37
280	528	35
281	529	33
282	531	31
283	533	30
284	535	28
285	537	26
286	539	24
287	541	22
288	543	20
289	544	18
290	546	16
291	548	15
292	550	13
293	552	11
294	554	9
295	556	7
296	558	5
297	559	3
298	561	1
299	563	0
