Season,ranker,name_display,player_id,team_name_abbr,conf_abbr,games,xpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,awards
2000,1,Brandon Skeen,brandon-skeen-1,Rice,WAC,11,0,0,,1,1,100.0,3,
2000,2,Brenden Rauh,brenden-rauh-1,West Virginia,Big East,11,5,7,71.4,3,3,100.0,14,
2000,3,Brett Kirouac,brett-kirouac-1,Georgia,SEC,11,6,8,75.0,1,1,100.0,9,
2000,4,Chris Bender,chris-bender-1,North Carolina,ACC,1,0,0,,1,1,100.0,3,
2000,5,Jason Mammarelli,jason-mammarelli-1,Cincinnati,CUSA,11,0,0,,3,3,100.0,9,
2000,6,Jeremy Flores,jeremy-flores-1,Colorado,Big 12,11,3,3,100.0,2,2,100.0,9,
2000,7,J.J. Tubbs,jj-tubbs-1,Illinois,Big Ten,11,13,13,100.0,1,1,100.0,16,
2000,8,John Wall,john-wall-2,USC,Pac-10,12,9,14,64.3,5,5,100.0,24,
2000,9,Mike Caldrone,mike-caldrone-1,Missouri,Big 12,11,4,4,100.0,1,1,100.0,7,
2000,10,Tony Lazzara,tony-lazzara-1,Clemson,ACC,11,6,8,75.0,1,1,100.0,9,
2000,11,Nick Calaycay,nick-calaycay-1,Boise State,Big West,11,59,61,96.7,15,16,93.8,104,
2000,12,Steve Azar,steve-azar-1,Northern Illinois,MAC,9,38,40,95.0,14,15,93.3,80,
2000,13,Billy Bennett,billy-bennett-1,Georgia,SEC,11,24,26,92.3,13,14,92.9,63,
2000,14,Alex Walls,alex-walls-1,Tennessee,SEC,11,39,39,100.0,18,20,90.0,93,
2000,15,Jonathan Ruffin,jonathan-ruffin-1,Cincinnati,CUSA,11,26,27,96.3,26,29,89.7,104,AA
2000,16,Jonathon Ruffin,jonathon-ruffin-1,Cincinnati,CUSA,11,26,27,96.3,26,29,89.7,104,
2000,17,Chris Kaylakie,chris-kaylakie-1,Texas Christian,WAC,11,50,51,98.0,16,18,88.9,98,
2000,18,Seth Hanson,seth-hanson-1,Kentucky,SEC,11,23,24,95.8,15,17,88.2,68,
2000,19,Carl Gomez,carl-gomez-1,Iowa State,Big 12,11,12,13,92.3,7,8,87.5,33,
2000,20,Dillon Pieffer,dillon-pieffer-1,Nevada-Las Vegas,MWC,12,19,20,95.0,6,7,85.7,37,
2000,21,Mike Sutphin,mike-sutphin-1,Boston College,Big East,11,38,40,95.0,12,14,85.7,74,
2000,22,Jamie Rheem,jamie-rheem-1,Kansas State,Big 12,12,49,50,98.0,17,20,85.0,100,
2000,23,Brian Kelly,brian-kelly-1,Middle Tennessee State,Ind,11,39,44,88.6,11,13,84.6,72,
2000,24,Kris Stockton,kris-stockton-1,Texas,Big 12,11,41,44,93.2,22,26,84.6,107,
2000,25,Jeff Chandler,jeff-chandler-1,Florida,SEC,12,49,53,92.5,16,19,84.2,97,
