Season,ranker,name_display,player_id,team_name_abbr,conf_abbr,games,punt,punt_yds,punt_yds_per_punt,awards
2000,1,B. Sparks,b-sparks-1,Navy,Ind,11,1,69,69.0,
2000,2,Bobby Sparks,bobby-sparks-1,Navy,Ind,11,1,69,69.0,
2000,3,Travis Dorsch,travis-dorsch-1,Purdue,Big Ten,11,13,652,50.2,
2000,4,Ryan McCann,ryan-mccann-1,UCLA,Pac-10,4,1,50,50.0,
2000,5,Scott McBrien,scott-mcbrien-1,West Virginia,Big East,8,1,48,48.0,
2000,6,Aaron Elling,aaron-elling-1,Wyoming,MWC,11,5,228,45.6,
2000,7,Brian Morton,brian-morton-1,Duke,ACC,11,77,3478,45.2,
2000,8,Preston Gruening,preston-gruening-1,Minnesota,Big Ten,11,46,2080,45.2,
2000,9,Kevin Stemke,kevin-stemke-1,Wisconsin,Big Ten,12,65,2915,44.8,
2000,10,Brooks Barnard,brooks-barnard-1,Maryland,ACC,11,49,2191,44.7,
2000,11,Dave Zastudil,dave-zastudil-1,Ohio,MAC,11,47,2084,44.3,
2000,12,Casey Roussel,casey-roussel-1,Tulane,CUSA,11,59,2609,44.2,
2000,13,Chris Morehouse,chris-morehouse-1,Georgia Tech,ACC,4,15,661,44.1,
2000,14,Kurt Kittner,kurt-kittner-1,Illinois,Big Ten,10,1,44,44.0,
2000,15,Mark Mariscal,mark-mariscal-1,Colorado,Big 12,11,1,44,44.0,
2000,16,Jeff Ferguson,jeff-ferguson-1,Oklahoma,Big 12,12,48,2108,43.9,
2000,17,Dan Hadenfeldt,dan-hadenfeldt-1,Nebraska,Big 12,11,39,1708,43.8,
2000,18,Aaron Edmonds,aaron-edmonds-1,BYU,MWC,12,67,2898,43.3,
2000,19,Alan Rhine,alan-rhine-1,Florida,SEC,12,47,2035,43.3,
2000,20,Damon Duval,damon-duval-1,Auburn,SEC,12,65,2811,43.2,
2000,21,Freddie Capshaw,freddie-capshaw-1,Miami (FL),Big East,11,49,2119,43.2,
2000,22,Nate Fikse,nate-fikse-1,UCLA,Pac-10,11,72,3109,43.2,
2000,23,Duane Griffin,duane-griffin-1,Akron,MAC,11,1,43,43.0,
2000,24,Brian Simnjamovski,brian-simnjamovski-1,San Diego State,MWC,11,55,2356,42.8,
2000,25,Brian Simnjanovski,brian-simnjanovski-1,San Diego State,MWC,11,55,2356,42.8,
2000,26,Richie Butler,richie-butler-1,Arkansas,SEC,11,65,2784,42.8,
2000,27,Mike Abrams,mike-abrams-1,Virginia,ACC,11,65,2768,42.6,
2000,28,B.J. Sander,bj-sander-1,Ohio State,Big Ten,11,33,1402,42.5,
2000,29,Jason Baker,jason-baker-1,Iowa,Big Ten,12,74,3145,42.5,
2000,30,Tom Waring,tom-waring-1,Wyoming,MWC,11,59,2502,42.4,
2000,31,Jonathan Kilgo,jonathan-kilgo-1,Georgia,SEC,11,58,2450,42.2,
2000,32,Jeff Edwards,jeff-edwards-2,Boise State,Big West,11,47,1975,42.0,
2000,33,Matt Brennie,matt-brennie-1,Wake Forest,ACC,11,63,2648,42.0,
2000,34,Kent McCullough,kent-mccullough-1,Miami (OH),MAC,11,56,2344,41.9,
2000,35,Adam Wulfeck,adam-wulfeck-1,Cincinnati,CUSA,11,56,2343,41.8,
2000,36,Dan Dyke,dan-dyke-1,Georgia Tech,ACC,11,34,1420,41.8,
2000,37,Travis Hale,travis-hale-1,Rice,WAC,11,54,2256,41.8,
2000,38,J.J. Standring,jj-standring-1,Northwestern,Big Ten,11,64,2667,41.7,
2000,39,Eric Rosiles,eric-rosiles-1,Texas Tech,Big 12,10,26,1082,41.6,
2000,40,Joey Biasatti,joey-biasatti-1,Texas Christian,WAC,11,26,1081,41.6,
2000,41,Nick Avondet,nick-avondet-1,Eastern Michigan,MAC,11,71,2954,41.6,
2000,42,Nick Harris,nick-harris-1,California,Pac-10,11,73,3030,41.5,AA
2000,43,Mike Masucci,mike-masucci-1,Buffalo,MAC,8,38,1575,41.4,
2000,44,Steve Mullins,steve-mullins-1,Utah State,Big West,11,64,2647,41.4,
2000,45,Glen Beard,glen-beard-1,UTEP,WAC,11,54,2229,41.3,
2000,46,Keith Cottrell,keith-cottrell-1,Florida State,ACC,12,48,1983,41.3,
2000,47,Mark Fazzolari,mark-fazzolari-1,West Virginia,Big East,11,60,2479,41.3,
2000,48,Mark Haulman,mark-haulman-1,Southern Mississippi,CUSA,11,76,3140,41.3,
2000,49,Prentiss Cole,prentiss-cole-1,Mississippi State,SEC,11,63,2601,41.3,
2000,50,Ray Cheetany,ray-cheetany-1,Nevada-Las Vegas,MWC,12,64,2646,41.3,
2000,51,Devin Sanderson,devin-sanderson-1,South Florida,Ind,11,47,1933,41.1,
2000,52,David Neill,david-neill-1,Nevada,WAC,11,1,41,41.0,
2000,53,David Leaverton,david-leaverton-1,Tennessee,SEC,11,59,2415,40.9,
2000,54,Joey Hildbold,joey-hildbold-1,Notre Dame,Ind,10,60,2456,40.9,
2000,55,Mike Shafer,mike-shafer-1,Syracuse,Big East,11,51,2086,40.9,
2000,56,Steve Fitts,steve-fitts-1,Illinois,Big Ten,11,52,2128,40.9,
2000,57,Craig Jarrett,craig-jarrett-1,Michigan State,Big Ten,11,62,2528,40.8,
2000,58,Dallas Thompson,dallas-thompson-1,Air Force,MWC,11,50,2040,40.8,
2000,59,Curtis Head,curtis-head-1,Marshall,MAC,12,60,2444,40.7,
2000,60,Kurtis Doerr,kurtis-doerr-1,Oregon,Pac-10,11,64,2606,40.7,
2000,61,Lane Bearden,lane-bearden-1,Alabama,SEC,11,60,2443,40.7,
2000,62,Colin Vadheim,colin-vadheim-1,SMU,WAC,12,67,2717,40.6,
2000,63,Adam Coles,adam-coles-1,Connecticut,Ind,11,56,2267,40.5,
2000,64,Jared Fritz,jared-fritz-1,Kent State,MAC,11,72,2908,40.4,
2000,65,Kevin Miller,kevin-miller-1,East Carolina,CUSA,11,30,1212,40.4,
2000,66,Andy Kohl,andy-kohl-1,New Mexico State,Big West,11,50,2017,40.3,
2000,67,_ Parulak,parulak-1,Kentucky,SEC,11,4,161,40.3,
2000,68,Pat Fleming,pat-fleming-1,Bowling Green,MAC,11,58,2340,40.3,
2000,69,Ryan Brewer,ryan-brewer-1,South Carolina,SEC,11,3,121,40.3,
2000,70,Cody Scates,cody-scates-1,Texas A&M,Big 12,11,52,2089,40.2,
2000,71,Hayden Epstein,hayden-epstein-1,Michigan,Big Ten,11,51,2050,40.2,
2000,72,Adam Stiles,adam-stiles-1,Baylor,Big 12,11,81,3248,40.1,
2000,73,Ben Graves,ben-graves-1,Memphis,CUSA,11,78,3125,40.1,
2000,74,Chris Sivori,chris-sivori-1,Louisville,CUSA,11,55,2204,40.1,
2000,75,Mike Fessler,mike-fessler-1,Oregon State,Pac-10,11,65,2609,40.1,
2000,76,Reagan King,reagan-king-1,Ole Miss,SEC,11,56,2247,40.1,
2000,77,Ross Stewart,ross-stewart-1,UAB,CUSA,11,58,2326,40.1,
2000,78,Javier Beorlegui,javier-beorlegui-1,UCF,Ind,11,45,1802,40.0,
2000,79,John Turman,john-turman-1,Pitt,Big East,11,2,80,40.0,
2000,80,Kyle Boller,kyle-boller-1,California,Pac-10,11,1,40,40.0,
2000,81,Nicholas Setta,nicholas-setta-1,Notre Dame,Ind,11,4,160,40.0,
2000,82,Patrick Fleming,patrick-fleming-2,Bowling Green,MAC,10,59,2360,40.0,
2000,83,Sammy Frogg,sammy-frogg-1,Tennessee,SEC,5,1,40,40.0,
2000,84,Toller Starnes,toller-starnes-1,Eastern Michigan,MAC,11,2,80,40.0,
2000,85,Jared Gilpin,jared-gilpin-1,Missouri,Big 12,11,65,2587,39.8,
2000,86,Ramey Peru,ramey-peru-1,Arizona,Pac-10,11,5,199,39.8,
2000,87,Cort Moffitt,cort-moffitt-1,New Mexico,MWC,12,86,3411,39.7,
2000,88,Kevin McMyler,kevin-mcmyler-1,Boston College,Big East,11,63,2503,39.7,
2000,89,Andy Jerdon,andy-jerdon-1,Akron,MAC,11,51,2021,39.6,
2000,90,Nick Murphy,nick-murphy-1,Arizona State,Pac-10,11,83,3288,39.6,
2000,91,Brian Brandt,brian-brandt-1,Central Michigan,MAC,11,87,3440,39.5,
2000,92,Clinton Greathouse,clinton-greathouse-1,Texas Tech,Big 12,8,36,1422,39.5,
2000,93,Derek Jones,derek-jones-1,Nevada,WAC,12,79,3119,39.5,
2000,94,Drew Henson,drew-henson-1,Michigan,Big Ten,8,2,79,39.5,
2000,95,Ryan Flinn,ryan-flinn-1,UCF,Ind,2,2,79,39.5,
2000,96,Andy Chance,andy-chance-1,Louisiana-Monroe,Ind,6,8,314,39.3,
2000,97,Casey Lipscomb,casey-lipscomb-1,Tulsa,WAC,12,64,2515,39.3,
