,feature,importance
0,pick_rel,0.05270426
244,pos_QB,0.032486867
66,scoring_fumbles_rec_td_rel,0.024412742
37,receiving_rec_td_rel,0.020053366
232,speed_x_cb,0.01940072
239,pos_LB,0.015297512
200,receiving_scrim_yds_per_att_resid,0.015177975
179,passing_pass_int_pct_resid,0.014948986
206,rushing_rush_yds_per_g_resid,0.01354086
213,rushing_yds_from_scrimmage_resid,0.013406601
11,agility_score_rel,0.013128038
5,cone_rel,0.012816884
185,punting_punt_resid,0.012473921
18,passing_pass_cmp_rel,0.012442103
172,passing_pass_cmp_resid,0.011991187
34,receiving_rec_rel,0.011689185
207,rushing_rec_resid,0.0115978625
48,rushing_rush_att_rel,0.011123965
24,passing_pass_int_rel,0.011073427
13,kicking_xpm_rel,0.011067143
192,receiving_rec_yds_per_g_resid,0.010795799
225,scoring_two_pt_md_resid,0.010340036
173,passing_pass_att_resid,0.010329518
197,receiving_rush_yds_per_g_resid,0.010205691
195,receiving_rush_yds_per_att_resid,0.010175788
21,passing_pass_yds_rel,0.0101428
178,passing_pass_int_resid,0.00985179
47,receiving_scrim_td_rel,0.009674852
35,receiving_rec_yds_rel,0.009635426
183,passing_pass_yds_per_g_resid,0.009539366
188,receiving_rec_resid,0.009488628
9,burst_score_rel,0.009453974
29,passing_pass_yds_per_g_rel,0.0092298845
205,rushing_rush_td_resid,0.008600232
65,scoring_kick_ret_td_rel,0.00837533
226,scoring_safety_md_resid,0.008341664
3,vertical_rel,0.008120216
36,receiving_rec_yds_per_rec_rel,0.008056839
58,rushing_scrim_att_rel,0.008013449
180,passing_pass_yds_per_att_resid,0.007943069
163,burst_score_resid,0.007885616
53,rushing_rec_rel,0.007777019
20,passing_pass_cmp_pct_rel,0.0076888767
52,rushing_rush_yds_per_g_rel,0.0076731336
44,receiving_scrim_att_rel,0.007613369
71,scoring_two_pt_md_rel,0.007612481
62,scoring_rush_td_rel,0.007510272
1,BMI_Age_Ratio_rel,0.007500486
12,BMI_rel,0.0074573844
22,passing_pass_td_rel,0.007361451
4,broad_jump_rel,0.0073219496
201,receiving_scrim_td_resid,0.007263346
164,power_density_resid,0.0072499914
166,BMI_resid,0.0072464566
175,passing_pass_yds_resid,0.0071587847
157,vertical_resid,0.007032848
230,career_games_total_resid,0.006858597
228,scoring_points_per_game_resid,0.006805797
161,bench_resid,0.0067595826
215,rushing_scrim_td_resid,0.006644533
23,passing_pass_td_pct_rel,0.0065383906
193,receiving_rush_att_resid,0.0064844587
64,scoring_punt_ret_td_rel,0.0064273602
187,punting_punt_yds_per_punt_resid,0.006382285
165,agility_score_resid,0.006341012
155,BMI_Age_Ratio_resid,0.0063248947
10,power_density_rel,0.006313375
182,passing_pass_yds_per_cmp_resid,0.006288737
176,passing_pass_td_resid,0.006227483
212,rushing_scrim_att_resid,0.0062166117
181,passing_pass_adj_yds_per_att_resid,0.006179394
50,rushing_rush_yds_per_att_rel,0.006150348
59,rushing_yds_from_scrimmage_rel,0.00600198
46,receiving_scrim_yds_per_att_rel,0.005909863
214,rushing_scrim_yds_per_att_resid,0.0058910795
221,scoring_def_int_td_resid,0.0058696927
210,rushing_rec_td_resid,0.005850685
162,speed_score_resid,0.005802206
218,scoring_punt_ret_td_resid,0.005533873
190,receiving_rec_yds_per_rec_resid,0.005373994
194,receiving_rush_yds_resid,0.0052842177
76,career_games_total_rel,0.004996768
45,receiving_yds_from_scrimmage_rel,0.00494204
33,punting_punt_yds_per_punt_rel,0.0049388628
60,rushing_scrim_yds_per_att_rel,0.0048999665
41,receiving_rush_yds_per_att_rel,0.004886354
51,rushing_rush_td_rel,0.004834216
160,shuttle_resid,0.0048337746
174,passing_pass_cmp_pct_resid,0.0048006554
55,rushing_rec_yds_per_rec_rel,0.0047617774
39,receiving_rush_att_rel,0.0047536846
219,scoring_kick_ret_td_resid,0.004747035
177,passing_pass_td_pct_resid,0.004668355
211,rushing_rec_yds_per_g_resid,0.004629738
156,forty_resid,0.004611745
38,receiving_rec_yds_per_g_rel,0.0046005864
202,rushing_rush_att_resid,0.0045479964
204,rushing_rush_yds_per_att_resid,0.0045347675
191,receiving_rec_td_resid,0.004396818
72,scoring_safety_md_rel,0.004263772
184,passing_pass_rating_resid,0.0042196135
8,speed_score_rel,0.0041990243
19,passing_pass_att_rel,0.0041702413
196,receiving_rush_td_resid,0.004154367
74,scoring_points_per_game_rel,0.0040023145
159,cone_resid,0.003915991
25,passing_pass_int_pct_rel,0.0038268666
56,rushing_rec_td_rel,0.0037874593
209,rushing_rec_yds_per_rec_resid,0.0037378112
158,broad_jump_resid,0.0036824292
2,forty_rel,0.0036517277
67,scoring_def_int_td_rel,0.0035999217
220,scoring_fumbles_rec_td_resid,0.003411173
27,passing_pass_adj_yds_per_att_rel,0.0034064497
199,receiving_yds_from_scrimmage_resid,0.0033488905
189,receiving_rec_yds_resid,0.0032553438
7,bench_rel,0.003192335
229,scoring_other_td_resid,0.003107939
198,receiving_scrim_att_resid,0.0030659975
222,scoring_all_td_resid,0.002877905
61,rushing_scrim_td_rel,0.0028270173
227,scoring_total_points_resid,0.002741512
203,rushing_rush_yds_resid,0.0027384888
73,scoring_total_points_rel,0.002706556
6,shuttle_rel,0.0025783072
68,scoring_all_td_rel,0.0025228844
54,rushing_rec_yds_rel,0.002336769
43,receiving_rush_yds_per_g_rel,0.0023228454
208,rushing_rec_yds_resid,0.0022250572
42,receiving_rush_td_rel,0.0021974551
30,passing_pass_rating_rel,0.002138313
167,kicking_xpm_resid,0.002109247
57,rushing_rec_yds_per_g_rel,0.0020787804
49,rushing_rush_yds_rel,0.0015892185
186,punting_punt_yds_resid,0.0011004221
26,passing_pass_yds_per_att_rel,0.00096694584
40,receiving_rush_yds_rel,0.0007456127
217,scoring_rec_td_resid,0.0004651992
75,scoring_other_td_rel,0.00038489504
106,passing_pass_yds_per_g_imputed,0.0
105,passing_pass_yds_per_cmp_imputed,0.0
104,passing_pass_adj_yds_per_att_imputed,0.0
103,passing_pass_yds_per_att_imputed,0.0
102,passing_pass_int_pct_imputed,0.0
101,passing_pass_int_imputed,0.0
100,passing_pass_td_pct_imputed,0.0
99,passing_pass_td_imputed,0.0
114,receiving_rec_td_imputed,0.0
113,receiving_rec_yds_per_rec_imputed,0.0
112,receiving_rec_yds_imputed,0.0
111,receiving_rec_imputed,0.0
110,punting_punt_yds_per_punt_imputed,0.0
109,punting_punt_yds_imputed,0.0
108,punting_punt_imputed,0.0
107,passing_pass_rating_imputed,0.0
