,Player,Actual_ROI,Pick,Position,Predicted_Probability,Surplus_AV,Expected_AV,Actual_hit
3583,Caleb Williams,-0.3768852120977632,1,QB,0.20913349092006683,5.012573320900248,31.01257332090025,0
3584,Jayden Daniels,-0.3542621617864689,2,QB,0.2923751374085744,4.357424589973569,30.35742458997357,0
3585,Drake Maye,-0.32349832120304,3,QB,0.3630036811033885,3.72023069383496,29.72023069383496,0
3586,Marvin Harrison Jr.,-1.4123174630021595,4,WR,0.20439081390698752,16.10041907822462,29.10041907822462,1
3587,Joe Alt,-1.4729855078816991,5,RT,0.03462033517037829,16.49743768827503,28.49743768827503,1
3588,Malik Nabers,-1.623546343140822,6,WR,0.23596487939357758,15.910754162780059,27.91075416278006,1
3589,JC Latham,-1.945220840797495,7,LT,0.21996692071358362,16.33985506269896,27.33985506269896,1
3590,Michael Penix,-2.471611201623578,8,QB,0.23812455435593924,18.7842451323392,26.7842451323392,1
3591,Rome Odunze,-1.8741377094390808,9,WR,0.26274550954500836,14.243446591737019,26.24344659173702,1
3592,J.J. McCarthy,-3.016249785948049,10,QB,0.23812455435593924,21.716998458825955,25.716998458825955,1
3593,Olumuyiwa Fashanu,-2.235949397066336,11,LT,0.22124691804250082,15.204455900051084,25.204455900051084,1
3594,Bo Nix,0.046763554261748,12,QB,0.23596487939357758,-0.2946103918490124,24.705389608150988,0
3595,Brock Bowers,-1.703230867648426,13,TE,0.23272601266702017,10.21938520589056,24.21938520589056,1
3596,Taliese Fuaga,-1.8527659783767847,14,LT,0.19413440426190695,10.746042674585361,23.74604267458536,1
3597,Laiatu Latu,-2.330697509879553,15,ED,0.26274550954500836,13.28497580631345,23.28497580631345,1
3598,Byron Murphy,-1.6362614219931384,16,IDL,0.17567159732182822,8.835811678762948,22.835811678762948,1
3599,Dallas Turner,-2.527960405983533,17,ED,0.19869977235794067,13.398190151712729,22.39819015171273,1
3600,Amarius Mims,-1.170933996900306,18,RT,0.23812455435593924,5.971763384191561,21.97176338419156,0
3601,Jared Verse,0.0870205154107697,19,ED,0.44586225350697833,-0.44380462859492553,21.556195371405074,0
3602,Troy Fautanu,-2.3825806863848986,20,LG,0.12368421256542206,12.151161500562985,21.151161500562985,1
3603,Chop Robinson,-3.2855584558391,21,ED,0.2677541822195053,16.75634812477941,20.75634812477941,1
3604,Quinyon Mitchell,-0.2798881947464156,22,CB,0.2154940962791443,1.3714521542574403,20.37145215425744,0
3605,Brian Thomas,-0.4158709716679147,23,WR,0.1816684603691101,1.9961806640059905,19.99618066400599,0
